ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BGR,Bulgaria,0.392134832,0.39964799,0.422940262,0.423020897,0.419201932,0.410932345,0.412990655,0.426187064,0.43287344,0.436943413,0.438623131,0.4358347,0.44019554,0.441248724,0.447324909,0.442368579,0.446018249,0.450250721,0.455058152,0.465478655,0.46696794,0.466042791,0.466363706,0.464953435,0.466580481,0.45987865,0.458535982,0.457723656
BFA,Burkina Faso,0.304971642,0.30495144,0.306810899,0.308728296,0.312276647,0.315733802,0.312627684,0.309589138,0.309849802,0.310176956,0.293105678,0.253302107,0.26639646,0.27103861,0.286159964,0.284975489,0.277609245,0.276823073,0.271327565,0.274492624,0.277149526,0.29815919,0.29903322,0.297620143,0.289563181,0.285601345,0.287483951,0.283529782
BDI,Burundi,0.237762507,0.237758848,0.2373099,0.236862742,0.242663702,0.248539415,0.251022089,0.253843692,0.254235474,0.251734041,0.257310115,0.232797688,0.230553387,0.230146489,0.227815636,0.205495154,0.200679517,0.200832885,0.228752691,0.272273526,0.255546937,0.266625557,0.267219923,0.26462153,0.264656969,0.262148919,0.26820154,0.272169239
KHM,Cambodia,0.28218493,0.282427382,0.282051343,0.282050347,0.286759262,0.29147762,0.290759598,0.290269551,0.288124265,0.289022071,0.278706763,0.269522021,0.271042048,0.276806574,0.27671366,0.273061349,0.276458421,0.288213627,0.280514398,0.286489256,0.282975989,0.29186732,0.287250012,0.285976766,0.286409832,0.283255353,0.287327057,0.289287208
CMR,Cameroon,0.261880538,0.261885452,0.267590031,0.273309707,0.275078845,0.276734822,0.275037854,0.273893323,0.284962143,0.287900992,0.275608401,0.252391559,0.251326463,0.250319551,0.247853768,0.242298779,0.250096319,0.250839316,0.254532318,0.25668088,0.253393301,0.263046688,0.259729392,0.259423758,0.257714047,0.259354349,0.260352829,0.262502537
CAN,Canada,0.592898001,0.594564625,0.59706465,0.593524282,0.601158055,0.607058248,0.607830189,0.60854214,0.607308683,0.621674722,0.634346172,0.679130731,0.679635,0.68360344,0.685266354,0.665408501,0.673207353,0.671894435,0.674380523,0.687060588,0.678880449,0.668254238,0.66475743,0.655831744,0.653408286,0.646809114,0.651409062,0.650276513
CPV,Cape Verde,0.405293223,0.405402074,0.403884653,0.402371757,0.406671525,0.411182119,0.397050837,0.384062871,0.388273092,0.388593423,0.414773329,0.385110219,0.387547863,0.393796099,0.397032421,0.394395569,0.410728669,0.417601567,0.420289253,0.438591145,0.44120919,0.43748565,0.437244327,0.436723565,0.436767073,0.443848368,0.449140619,0.449691672
CAF,Central African Republic,0.253128812,0.253139032,0.253787201,0.254435162,0.251996792,0.249501468,0.249993458,0.250479831,0.242357231,0.228842119,0.219103306,0.160299567,0.157368963,0.157822403,0.157471625,0.136518446,0.136309903,0.143565761,0.126804257,0.114612892,0.118633633,0.141756571,0.139117968,0.138179054,0.137654136,0.132108935,0.135983242,0.135861601
TCD,Chad,0.245191272,0.245192234,0.244200172,0.243276911,0.245092157,0.246919018,0.246130743,0.245396476,0.236100435,0.23964734,0.220261503,0.174920034,0.173785412,0.165307074,0.171681968,0.161188366,0.163252651,0.168887813,0.167991936,0.165354673,0.170119273,0.183868094,0.186044764,0.184920714,0.187964565,0.191494664,0.189978956,0.188640937
CHL,Chile,0.443298119,0.44480309,0.437164857,0.431876416,0.442701007,0.45467748,0.461039621,0.470680243,0.460755819,0.467290909,0.480485376,0.49538506,0.507652575,0.511775708,0.507912181,0.519710668,0.526010303,0.542145155,0.547935456,0.566337729,0.559190579,0.543369378,0.542406755,0.5433374,0.534750093,0.533976739,0.538063132,0.536889518
CHN,China,0.362564786,0.363551876,0.360305933,0.357102481,0.35853962,0.362960567,0.358020576,0.35537452,0.364626177,0.368488711,0.397418736,0.476343811,0.491239786,0.510935487,0.523987286,0.560520189,0.56595423,0.570607611,0.577778868,0.43379824,0.44636777,0.448545733,0.459232785,0.464857793,0.531016575,0.548373067,0.554115454,0.557006608
COL,Colombia,0.288939595,0.289353607,0.289706537,0.290666754,0.291229762,0.294409063,0.297638044,0.300818626,0.298941504,0.305052345,0.316302423,0.295595173,0.301812763,0.314016203,0.327700285,0.340874745,0.355548638,0.35513333,0.357257282,0.380363994,0.379590611,0.378574349,0.376977446,0.373749461,0.371744717,0.374571672,0.37174025,0.376664782
COM,Comoros,0.314854907,0.314869925,0.315785573,0.316716617,0.310567347,0.304380985,0.315089156,0.325759709,0.305966464,0.30383819,0.317713458,0.27459221,0.264718874,0.260445065,0.260122343,0.264236128,0.267045341,0.267754771,0.283242623,0.29780843,0.291734935,0.301132711,0.299286187,0.289037373,0.285955609,0.280723303,0.281436488,0.28291247
COG,Congo,0.267301982,0.26730747,0.256760001,0.246212487,0.25584368,0.26689317,0.263174931,0.259896473,0.26237698,0.267588176,0.248221798,0.220265374,0.22349644,0.22471829,0.230955884,0.217160106,0.213585736,0.205911583,0.20901727,0.217907444,0.211899716,0.234157604,0.225773101,0.229615141,0.229535813,0.226761763,0.231840583,0.235179134
