ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BHS,Bahamas,20853.91037,21742.17483,22023.60956,22935.10716,24542.09478,25757.81778,26651.25182,27433.32312,27254.85876,27856.24492,29302.6483,30539.72004,31375.70348,30795.50091,29267.17399,29658.41962,30078.952,30564.24856,29604.36594,30771.70472,31094.55308,31277.80744,32982.31393,33876.15695,34541.70749,25459.21852,28510.90949,33637.5048
BHR,Bahrain,34048.36318,34965.93581,35551.69096,36561.79467,37575.67788,39365.28427,40191.40316,41164.2896,42903.95659,44011.94266,44785.27703,45656.08035,47387.93078,48090.86371,46709.19089,47936.30175,49960.26787,53846.8814,53808.70589,52272.91246,46246.39565,45591.3982,49234.31344,50198.64094,53712.14852,51439.20376,54351.83608,60652.8505
BGD,Bangladesh,1255.597114,1313.185822,1371.076758,1431.160469,1490.379121,1574.525647,1659.895464,1718.08388,1803.270265,1916.679795,2074.250636,2253.43135,2451.943955,2626.062718,2751.24468,2906.467751,3119.929973,3501.555574,3751.061086,4023.541146,4253.687699,4608.574652,4894.442197,5484.763547,6025.087349,6596.044598,7366.489971,8354.715868
BRB,Barbados,10225.1481,10806.20434,11494.75766,12038.22123,12224.94743,13033.82007,12976.74548,13228.43454,13729.27642,14243.91452,15216.51904,16579.65757,17317.64894,17685.52612,16830.43972,16601.40684,16765.7393,15772.24678,15807.82201,15636.43182,16006.94811,16438.83586,16279.24653,16960.24774,17459.15126,14687.10704,14752.3737,17892.18926
BLR,Belarus,3850.232959,4044.094461,4601.89592,5067.291847,5337.692163,5802.473341,6245.440459,6705.036472,7370.385876,8492.904038,9648.233108,11007.53804,12334.52388,13902.47446,14050.70844,15364.02984,16563.20141,18114.75086,19014.05297,19037.82095,18133.56963,17832.47789,18413.71274,20026.03067,22301.57669,24872.3399,27611.18011,28406.06615
BEL,Belgium,22431.45936,22736.75807,23727.89752,24368.75741,25440.84119,27788.09088,28796.57958,30282.28865,30934.58265,32063.98269,33177.89095,35258.98506,36799.53187,37883.33194,37748.39943,39833.18405,40942.37271,42290.76205,43671.11959,44929.68559,46200.90445,48597.39998,50442.27054,52530.56208,56621.54176,55730.95289,62123.16132,68274.20064
BLZ,Belize,6084.150543,6076.430515,6227.020546,6315.550266,6772.799096,7525.905207,7829.074966,8121.815206,8807.042833,9193.120744,9406.700714,9841.032743,10144.2312,9897.563302,9645.507732,9640.297074,9588.608909,9145.726881,9378.916507,9340.362116,9451.563574,9336.419937,9086.911909,9479.911474,10436.33353,9540.67115,11559.8906,13280.59839
BEN,Benin,1436.862915,1487.724832,1554.278172,1585.074579,1642.381266,1724.759305,1802.524525,1858.889912,1902.642314,1979.528125,2011.628511,2090.489769,2211.154999,2295.443601,2294.625147,2303.017286,2350.356452,2435.948513,2609.135759,2774.858953,2832.004174,2952.513683,2996.13599,3075.235868,3260.768536,3354.179971,3575.311487,3957.961212
BTN,Bhutan,2420.667078,2553.954839,2690.697329,2828.690667,3022.633884,3106.579375,3318.737581,3627.209762,3888.963442,4100.233671,4431.176468,4754.266985,5599.994298,5896.159562,6314.700239,7074.581996,7734.717806,8385.919217,8488.437074,9141.577063,10024.29561,11078.92381,11649.83204,11932.85633,12864.77801,12434.67452,13423.42887,15021.72899
BOL,"Bolivia, Plurinational State of",2865.476906,2988.826749,3132.859805,3267.451184,3267.846285,3364.439068,3436.75606,3514.824223,3617.668449,3803.262842,4025.572981,4273.458243,4509.949492,4795.802363,4902.658338,5080.109537,5363.987903,5837.071101,6552.414616,7003.241839,7103.431756,7492.284709,8442.585295,8876.584719,9091.927689,8210.70291,9342.971844,10238.81209
BIH,Bosnia and Herzegovina,1492.465817,2249.216256,3018.223605,3501.079804,3853.159245,4127.613812,4291.239554,4743.391536,4911.677781,5405.64767,5958.970871,6879.25367,7696.913444,8595.600013,8698.055006,9087.25971,9757.455001,10108.88323,10787.72193,11147.56249,11825.20942,12869.30207,13580.88555,14800.21032,16354.00014,16275.23818,18396.46909,20998.52263
BWA,Botswana,7135.1323,7502.058994,8076.982811,8023.905001,8734.937521,8923.469889,8965.841142,9479.194716,9937.825113,10299.53078,10908.62423,11958.7509,12741.39038,13139.72502,11119.91449,12141.48683,12976.5292,12091.68763,12880.30526,14417.01321,13518.48486,15416.58452,14817.57128,14805.29163,14889.8073,14208.27016,16663.86854,18516.19134
BRA,Brazil,8008.757266,8208.918993,8505.407531,8504.283625,8542.793155,8995.851894,9203.897339,9511.453991,9694.265706,10409.07625,10956.12292,11615.64046,12524.56804,13284.39469,13222.87769,14256.55947,14989.15778,14962.36844,15469.53539,15564.801,14567.70606,14057.31325,14293.60464,15165.06315,15741.4785,15759.07823,17672.9168,19398.58981
BRN,Brunei Darussalam,63698.64595,65184.68981,63869.16291,62834.59907,64284.64589,66220.77222,68177.06417,70527.57584,72632.65514,73627.68062,74930.04906,79320.13121,80315.37929,79060.04859,76994.22469,78796.10065,82300.65605,87024.9382,83136.85527,81243.899,62823.11662,56889.41034,62015.43312,65679.43108,70087.0385,70685.18631,79364.09456,82893.40432
BGR,Bulgaria,7737.703342,6846.470569,5749.381185,6177.642355,5807.828784,6422.799332,6961.083345,7937.483144,8417.417529,9201.625332,10291.3391,11407.98606,12822.08141,14346.51408,14180.47842,14955.25983,15746.5389,16326.43153,16648.50693,17615.10889,18384.75357,20064.90795,21455.8755,23004.31955,25526.2811,25735.00085,29404.96051,35463.55499
